feasibility_id,target_doi,notice_or_source_doi,update_type,outcome_date,assertion_source,relation_label,source_work_title,target_title_current,target_title_has_status_marker,issue_family,issue_description,ground_truth_tier,required_artifact_role,content_detectability,adjudication_evidence_url,adjudication_notes,detector_visible,manager_only
F070,10.1371/journal.pone.0292680,10.1371/journal.pone.0312330,retraction,2024-10-14,retraction-watch,Retraction,Retraction: GIS-statically-based modelling the groundwater quality assessment coupled with soil and terrain attributes data,GIS-statically-based modelling the groundwater quality assessment coupled with soil and terrain attributes data,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F071,10.1371/journal.pone.0292680,10.1371/journal.pone.0312330,retraction,2024-10-14,publisher,Retraction,Retraction: GIS-statically-based modelling the groundwater quality assessment coupled with soil and terrain attributes data,GIS-statically-based modelling the groundwater quality assessment coupled with soil and terrain attributes data,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F072,10.1155/2023/1287325,10.1155/2024/9859620,retraction,2024-01-24,retraction-watch,Retraction,"Retracted: Bioinspired Synthesis of Zinc Molybdate Nanoparticles: An Efficient Material for Growth Inhibition of Escherichia coli, Staphylococcus aureus, and Dye Remediation","Bioinspired Synthesis of Zinc Molybdate Nanoparticles: An Efficient Material for Growth Inhibition of Escherichia coli, Staphylococcus aureus, and Dye Remediation",False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F073,10.1080/00223131.2024.2402366,10.1080/00223131.2025.2485652,correction,2025-06-17,publisher,Correction,Correction,Extraction behaviors of minor actinides and rare earth elements with NTA amide extractants,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F074,10.1080/23306343.2025.2495492,10.1080/23306343.2025.2517422,correction,2025-06-18,publisher,Correction,Correction,"An intentional hybridity towards
            <i>modus vivendi</i>
            : the Chinese translation of
            <i>the Admirable Crichton</i>",False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F075,10.1002/bsd2.70047,10.1002/bsd2.70073,correction,2025-02-05,publisher,Correction,Correction to “Sustainable Consumer Behaviour in the Fast‐Moving Consumer Goods Sector: Moderating Role of Competitive Intensity in Green Marketing”,Sustainable Consumer Behaviour in the Fast‐Moving Consumer Goods Sector: Moderating Role of Competitive Intensity in Green Marketing,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F076,10.1007/s10896-024-00797-7,10.1007/s10896-025-00845-w,correction,2025-02-25,publisher,Correction,Correction: Experiences of Intimate-Partner Violence and Violence from a Family Member During COVID-19 Among LGBTQ Adults in Australia,Experiences of Intimate-Partner Violence and Violence from a Family Member During COVID-19 Among LGBTQ Adults in Australia,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F077,10.3390/molecules25245875,10.3390/molecules30173542,retraction,2025-08-29,retraction-watch,Retraction,"RETRACTED: Rahimifard et al. Therapeutic Effects of Gallic Acid in Regulating Senescence and Diabetes; an In Vitro Study. Molecules 2020, 25, 5875",RETRACTED: Therapeutic Effects of Gallic Acid in Regulating Senescence and Diabetes; an In Vitro Study,True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F078,10.3389/fpsyg.2022.999953,10.3389/fpsyg.2025.1675526,retraction,2025-08-07,publisher,Retraction,"Retraction: Does industrial up-gradation, environment regulations, and resource allocation impact on foreign direct investment: empirical evidence from China","Does industrial up-gradation, environment regulations, and resource allocation impact on foreign direct investment: Empirical evidence from China",False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F079,10.1016/j.tsep.2025.103276,10.1016/j.tsep.2025.103276,retraction,2025-03-01,publisher,Retraction,RETRACTED: Simulation of infrared radiation images based on wearable device fiber optic temperature sensing in motion training state: Thermal energy image detection,RETRACTED: Simulation of infrared radiation images based on wearable device fiber optic temperature sensing in motion training state: Thermal energy image detection,True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F080,10.3390/toxics10050203,10.3390/toxics13020074,retraction,2022-04-20,publisher,Retraction,"RETRACTED: Di Paola et al. Combined Effects of Potassium Perchlorate and a Neonicotinoid on Zebrafish Larvae (Danio rerio). Toxics 2022, 10, 203",RETRACTED: Combined Effects of Potassium Perchlorate and a Neonicotinoid on Zebrafish Larvae (Danio rerio),True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
