review_rank,person_id,canonical_name,identity_status,openalex_work_id,publication_year,title,cited_by_count,primary_topic_name,source_author_ids,sample_reason,work_belongs_to_focal_person,review_reason,reviewer,mh_blinded_at_work_audit,review_priority_score,review_priority_tier,priority_signals,machine_verdict,auto_release_allowed,auto_exclusion_allowed
90,cv_Q118326,Ernst Rexer,VERIFIED_CLUSTER,W2032324178,1937,Untersuchungen am langwelligen Ausl�ufer der ultravioletten Eigenabsorption von Alkali-Halogenid-Kristallen,10,Inorganic Fluorides and Related Compounds,A5002011970,temporal_median,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
91,cv_Q118326,Ernst Rexer,VERIFIED_CLUSTER,W2044027442,1937,W�rmebehandlung und Diffusion in Salzkristallen,3,Methane Hydrates and Related Phenomena,A5002011970,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
92,cv_Q118326,Ernst Rexer,VERIFIED_CLUSTER,W567967414,1965,Chemische Veränderungen von Stoffen durch energiereiche Strahlung,12,Radiation Effects and Dosimetry,A5002011970,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
93,cv_Q118326,Ernst Rexer,VERIFIED_CLUSTER,W160902286,1969,NEW INVESTIGATIONS ON THE ORIGIN OF BRITTLE FRACTURE IN SPACE-CENTERED- CUBIC METALS.,0,Advanced ceramic materials synthesis,A5002011970,latest,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
94,cv_Q15440160,Hans Arnsperger,VERIFIED_CLUSTER,W2068072002,1905,Herzverziehung durch mediastinale Prozesse mit nachträglicher Lungenerkrankung,0,Tracheal and airway disorders,A5011649383,temporal_median,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
95,cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,W2889539354,2005,Gödel's theorem,19,Mathematics and Applications,A5036562220,high_citation,,,,,7,P1,identity_note_risk:posthumous;near_death_boundary,NONE,false,false
96,cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,W4248635996,2005,Gödel's Theorem,9,"Computability, Logic, AI Algorithms",A5036562220,high_citation,,,,,7,P1,identity_note_risk:posthumous;near_death_boundary,NONE,false,false
97,cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,W2802573461,2006,The popular impact of Gödel's incompleteness theorem,5,Advanced Algebra and Logic,A5036562220,high_citation,,,,,7,P1,identity_note_risk:posthumous;near_death_boundary,NONE,false,false
98,cv_Q18738873,Robert R. Squires,VERIFIED_SINGLE,W1987438158,1997,"A reinvestigation of singlet benzyne thermochemistry predicted by CASPT2, coupled-cluster and density functional calculations",165,Advanced Chemical Physics Studies,A5050147955,high_citation,,,,,7,P1,identity_note_risk:excluded|fragment|namesake;near_death_boundary,NONE,false,false
99,cv_Q23059458,Minoo Lenarz,VERIFIED_SINGLE,W2008926589,2013,RORγt+ Innate Lymphoid Cells Acquire a Proinflammatory Program upon Engagement of the Activating Receptor NKp44,178,"IL-33, ST2, and ILC Pathways",A5073627948,accepted_author_fragment:A5073627948,,,,,7,P1,identity_note_risk:namesake;lexical_topic_outlier_review_only;fragment_anchor,NONE,false,false
100,cv_Q2545268,Walter L. Bühl,VERIFIED_CLUSTER,W572515467,1972,Verstehende Soziologie : Grundzüge und Entwicklungstendenzen,12,Sociology and Education Studies,A5065115676,high_citation,,,,,7,P1,identity_note_risk:excluded|fragment;verified_cluster,NONE,false,false
101,cv_Q2545268,Walter L. Bühl,VERIFIED_CLUSTER,W592851465,1974,Einführung in die Wissenschaftssoziologie,17,Sociology and Education Studies,A5065115676,high_citation,,,,,7,P1,identity_note_risk:excluded|fragment;verified_cluster,NONE,false,false
102,cv_Q2545268,Walter L. Bühl,VERIFIED_CLUSTER,W639851681,1976,Theorien sozialer Konflikte,23,Sociology and Education Studies,A5065115676,high_citation,,,,,7,P1,identity_note_risk:excluded|fragment;verified_cluster,NONE,false,false
103,cv_Q2545268,Walter L. Bühl,VERIFIED_CLUSTER,W365639918,1987,Kulturwandel : für eine dynamische Kultursoziologie,14,Sociology and Education Studies,A5065115676,high_citation,,,,,7,P1,identity_note_risk:excluded|fragment;verified_cluster,NONE,false,false
104,cv_Q2545268,Walter L. Bühl,VERIFIED_CLUSTER,W563053323,1998,Verantwortung für soziale Systeme : Grundzüge einer globalen Gesellschaftsethik,14,Economic and Social Issues,A5065115676,high_citation,,,,,7,P1,identity_note_risk:excluded|fragment;verified_cluster,NONE,false,false
105,cv_Q2545268,Walter L. Bühl,VERIFIED_CLUSTER,W579519336,2002,Phänomenologische Soziologie : ein kritischer Überblick,4,German Social Sciences and History,A5065115676,latest,,,,,7,P1,identity_note_risk:excluded|fragment;verified_cluster,NONE,false,false
106,cv_Q3052265,Émile Haumant,VERIFIED_CLUSTER,W2049723003,1914,Histoire de la Russie depuis les Origines jusqu'a nos Jours,0,Russia and Soviet political economy,A5032545110,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
107,cv_Q3052265,Émile Haumant,VERIFIED_CLUSTER,W2024652585,1915,Le pays dinarique et les types serbes,0,"Balkans: History, Politics, Society",A5032545110,temporal_median,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
108,cv_Q3052265,Émile Haumant,VERIFIED_CLUSTER,W2303863198,1919,Les frontières historiques de la Serbie,0,"Balkans: History, Politics, Society",A5032545110,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
109,cv_Q3052265,Émile Haumant,VERIFIED_CLUSTER,W3009344524,1927,"La Yougoslavie. Études et souvenirs. La Nationalité serbo-croate. Types yougoslaves. La Slavisation de la Dalmatie. Les Français à Raguse. Les Souvenirs de M. de Tkalats. La Première Histoire serbe. La Légende de Kossovo. Hélène d'Anjou à Gradats. L'Aurore de la liberté. L'Armée de Karageorges, etc",0,"Balkans: History, Politics, Society",A5001687639,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
110,cv_Q3052265,Émile Haumant,VERIFIED_CLUSTER,W655506344,1927,La Yougoslavie: Etudes et Souvenirs,0,"Balkans: History, Politics, Society",A5032545110,latest,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
111,cv_Q3611354,Alfredo Boni,VERIFIED_SINGLE,W1990657848,1941,Distacco e scivolamento di masse a Cissone frazione di Serravalle delle Langhe,5,Landslides and related hazards,A5109468760,accepted_author_fragment:A5109468760,,,,,7,P1,identity_note_risk:namesake;lexical_topic_outlier_review_only;fragment_anchor,NONE,false,false
112,cv_Q47216729,Alfonso W. Quiroz,VERIFIED_CLUSTER,W2327863635,1991,"Financial Development in Peru Under Agrarian Export Influence, 1884-1950",30,History and Politics in Latin America,A5073210039,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
113,cv_Q47216729,Alfonso W. Quiroz,VERIFIED_CLUSTER,W2012806147,1992,"Desarrollo financiero y economia agraria de exportacion en el Peru, 1884–1950",28,History and Politics in Latin America,A5073210039,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
114,cv_Q47216729,Alfonso W. Quiroz,VERIFIED_CLUSTER,W2100048414,1993,Peru under Garcia: An Opportunity Lost.,27,Political and Social Dynamics in Chile and Latin America,A5073210039,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
115,cv_Q47216729,Alfonso W. Quiroz,VERIFIED_CLUSTER,W4383213017,1993,"Deudas olvidadas : instrumentos de crédito en la economía colonial peruana, 1750-1820",18,Historical Studies in Latin America,A5073210039,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
116,cv_Q47216729,Alfonso W. Quiroz,VERIFIED_CLUSTER,W4233165095,1995,Las promesas ambiguas: Criollismo colonial en los Andes.,20,Historical Studies in Latin America,A5073210039,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
117,cv_Q47216729,Alfonso W. Quiroz,VERIFIED_CLUSTER,W2305414418,1996,"Gisela von Wobeser: El crédito eclesiástico en la Nueva España, siglo xviii",0,Historical Studies in Latin America,A5073210039,temporal_median,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
118,cv_Q594723,Anton Tautscher,VERIFIED_CLUSTER,W2119796224,1941,Die Arbeitsteilung als Grundproblem der Nationalökonomie bei Ernst Ludwig Carl (1722),0,European Political History Analysis,A5028266044,earliest,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
119,cv_Q594723,Anton Tautscher,VERIFIED_CLUSTER,W3121717514,1941,Die Arbeitsteilung als Grundproblem der Nationalökonomie bei Ernst Ludwig Carl (1722),3,European Political History Analysis,A5028266044,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
120,cv_Q594723,Anton Tautscher,VERIFIED_CLUSTER,W2043871246,1948,Staatswirtschaftslehre des Kameralismus,6,European Political History Analysis,A5028266044,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
121,cv_Q594723,Anton Tautscher,VERIFIED_CLUSTER,W4360972420,1951,Grundlegung der integralen Finanzwissenschaft,0,European Monetary and Fiscal Policies,A5028266044,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
122,cv_Q594723,Anton Tautscher,VERIFIED_CLUSTER,W560603795,1971,Die österreichische wirtschaftsordnung,1,European Socioeconomic and Political Studies,A5028266044,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
123,cv_Q693932,Arnim Bechmann,VERIFIED_CLUSTER,W1937690132,2004,Die Umweltverträglichkeitsprüfung in Deutschland – Zwischenbilanz und Ausblick,0,Environmental Science and Technology,A5050704155,latest,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
124,cv_Q7416679,Sandra Leiblum,VERIFIED_CLUSTER,W1989755880,1993,Prevalence of sexual dysfunction in women: Results of a survey study of 329 women in an outpatient gynecological clinic,397,Sexual function and dysfunction studies,A5075417166,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
125,cv_Q7416679,Sandra Leiblum,VERIFIED_CLUSTER,W2336273414,2000,Transdermal Testosterone Treatment in Women with Impaired Sexual Function after Oophorectomy,960,Sexual function and dysfunction studies,A5075417166,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
126,cv_Q7416679,Sandra Leiblum,VERIFIED_CLUSTER,W2790483449,2000,Female Sexual Function Index,14,Sexual function and dysfunction studies,A5075417166,temporal_median,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
127,cv_Q7416679,Sandra Leiblum,VERIFIED_CLUSTER,W2034572972,2002,The Female Sexual Distress Scale (FSDS): Initial Validation of a Standardized Scale for Assessment of Sexually Related Personal Distress in Women,793,Sexual function and dysfunction studies,A5075417166,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
128,cv_Q7416679,Sandra Leiblum,VERIFIED_CLUSTER,W2107116520,2003,Definitions of women's sexual dysfunction reconsidered: Advocating expansion and revision,477,Sexual function and dysfunction studies,A5075417166,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
129,cv_Q7416679,Sandra Leiblum,VERIFIED_CLUSTER,W2160698316,2004,Revised Definitions of Women's Sexual Dysfunction,452,Sexual function and dysfunction studies,A5075417166,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
130,cv_Q7416679,Sandra Leiblum,VERIFIED_CLUSTER,W2004405160,2006,Hypoactive sexual desire disorder in postmenopausal women: US results from the Women's International Study of Health and Sexuality (WISHeS),443,Sexual function and dysfunction studies,A5075417166,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
131,cv_Q95927,Robert Gaupp,VERIFIED_CLUSTER,W1781185082,1925,Psychologie des Kindes,21,"Psychology, Coaching, and Therapy",A5110908379,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
132,cv_Q95927,Robert Gaupp,VERIFIED_CLUSTER,W2221581111,1925,Die frühe Kindheit,41,Health and Medical Studies,A5110908379,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
133,cv_Q95927,Robert Gaupp,VERIFIED_CLUSTER,W2331819492,1926,Krankheitseinheit und mischpsychosen,54,Mental Health and Psychiatry,A5110908379,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
134,cv_Q95927,Robert Gaupp,VERIFIED_CLUSTER,W4239366406,1938,Buchbeserechungen,0,"Psychology, Coaching, and Therapy",A5110908379,temporal_median,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
135,cv_Q95927,Robert Gaupp,VERIFIED_CLUSTER,W2051153415,1939,Die Lehren Kraepelins in ihrer Bedeutung für die heutige Psychiatrie,30,Mental Health and Psychiatry,A5110908379,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
136,cv_Q108651,Valentin Haecker,VERIFIED_SINGLE,W2073645189,1929,Goethes morphologische Arbeiten und die neuere Forschung,14,German Literature and Culture Studies,A5082428775,latest,,,,,6,P2,posthumous_year:+2;lexical_topic_outlier_review_only,NONE,false,false
137,cv_Q1729753,Karl-Franz Busch,VERIFIED_SINGLE,W4213452096,1989,Frontmatter,0,,A5000693352,high_citation,,,,,6,P2,container_like_title,NONE,false,false
138,cv_Q18738873,Robert R. Squires,VERIFIED_SINGLE,W66195362,1992,Metal (iron and nickel) carbonyl bond strengths in Fe(CO)n- and Ni(CO)n-,182,Corrosion Behavior and Inhibition,A5050147955,high_citation,,,,,6,P2,identity_note_risk:excluded|fragment|namesake;lexical_topic_outlier_review_only,NONE,false,false
139,cv_Q23059458,Minoo Lenarz,VERIFIED_SINGLE,W2086675974,2010,Preoperative prediction of vestibular schwannoma's nerve of origin with posturography and electronystagmography,17,Meningioma and schwannoma management,A5073627948,temporal_median,,,,,6,P2,identity_note_risk:namesake;lexical_topic_outlier_review_only,NONE,false,false
140,cv_Q313061,Aurel Stein,VERIFIED_SINGLE,W2098574360,1944,Archæological Notes form the Hindukush Region,31,Indian and Buddhist Studies,A5052982479,latest,,,,,6,P2,posthumous_year:+1;lexical_topic_outlier_review_only,NONE,false,false
141,cv_Q3611354,Alfredo Boni,VERIFIED_SINGLE,W2016902585,1946,La frana di Casa Le Rive in comune di Fumane (Verona),0,Mediterranean and Iberian flora and fauna,A5109468760,high_citation,,,,,6,P2,identity_note_risk:namesake;lexical_topic_outlier_review_only,NONE,false,false
142,cv_Q3611354,Alfredo Boni,VERIFIED_SINGLE,W2068177684,1947,La frana di Grassura (Fraz. di Cravagliana) in Val Mastellone,0,Historical and Environmental Studies,A5109468760,high_citation,,,,,6,P2,identity_note_risk:namesake;lexical_topic_outlier_review_only,NONE,false,false
143,cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,W1559243436,1966,THE ROLE OF PREDICTION IN TRAINING WITH A SIMULATED ORBITAL DOCKING TASK.,2,Software Reliability and Analysis Research,A5054956965,earliest,,,,,6,P2,identity_note_risk:contamination|mixed|namesake;lexical_topic_outlier_review_only,NONE,false,false
144,cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,W1529138115,1967,"Human Operator Response Speed, Frequency, and Flexibility: A Review and Analysis",31,Human-Automation Interaction and Safety,A5054956965,high_citation,,,,,6,P2,identity_note_risk:contamination|mixed|namesake;lexical_topic_outlier_review_only,NONE,false,false
145,cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,W2730136196,1972,ESEA Title I: A Reanalysis and Synthesis of Evaluation Data from Fiscal Year 1965 Through 1970. Final Report.,25,"Research, Science, and Academia",A5054956965,high_citation,,,,,6,P2,identity_note_risk:contamination|mixed|namesake;lexical_topic_outlier_review_only,NONE,false,false
146,cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,W136084617,1977,Achievement Testing of Disadvantaged and Minority Students for Educational Program Evaluation.,52,Student Assessment and Feedback,A5054956965,high_citation,,,,,6,P2,identity_note_risk:contamination|mixed|namesake;lexical_topic_outlier_review_only,NONE,false,false
147,cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,W2072205001,1987,Dopant segregation during vertical Bridgman-Stockbarger growth with melt stabilization by strong axial magnetic fields,84,Solidification and crystal growth phenomena,A5054956965,accepted_author_fragment:A5054956965,,,,,6,P2,identity_note_risk:contamination|mixed|namesake;fragment_anchor,NONE,false,false
148,cv_Q56329881,Armin Buschauer,VERIFIED_SINGLE,W2802089023,2018,Structural basis of ligand binding modes at the neuropeptide Y Y1 receptor,148,Neuropeptides and Animal Physiology,A5007797524,high_citation,,,,,6,P2,posthumous_year:+1;lexical_topic_outlier_review_only,NONE,false,false
149,cv_Q5712976,Folke Engström,VERIFIED_SINGLE,W1639451164,1881,"Beobachtungen, Elemente und Ephemeride des Cometen b 1881",0,Astro and Planetary Science,A5064616876,accepted_author_fragment:A5064616876,,,,,6,P2,identity_note_risk:excluded|fragment|namesake;fragment_anchor,NONE,false,false
150,cv_Q5712976,Folke Engström,VERIFIED_SINGLE,W623416560,1889,"Observations des étoiles de la zone entre 35° et 40° de déclinaison boréale, faites à l'observatoire de Lund et réduites à l'équinoxe moyen de 1875,0",0,Historical Geography and Cartography,A5064616876,high_citation,,,,,6,P2,identity_note_risk:excluded|fragment|namesake;lexical_topic_outlier_review_only,NONE,false,false
151,cv_Q5712976,Folke Engström,VERIFIED_SINGLE,W2114457066,1896,Ephemeride für den Faye'schen Cometen 1896 …,0,Chemical synthesis and alkaloids,A5064616876,high_citation,,,,,6,P2,identity_note_risk:excluded|fragment|namesake;lexical_topic_outlier_review_only,NONE,false,false
152,cv_Q6225153,John Carl Parish,VERIFIED_SINGLE,W2878653436,1922,The First Mississippi Bridge,1,Structural Engineering and Vibration Analysis,A5027199373,high_citation,,,,,6,P2,identity_note_risk:namesake;lexical_topic_outlier_review_only,NONE,false,false
153,cv_Q6225153,John Carl Parish,VERIFIED_SINGLE,W4235974194,1930,The Intrigues of Doctor James O'Fallon,1,History of Medical Practice,A5027199373,high_citation,,,,,6,P2,identity_note_risk:namesake;lexical_topic_outlier_review_only,NONE,false,false
154,cv_Q6225153,John Carl Parish,VERIFIED_SINGLE,W4236488569,1931,Up and Down California in 1860-1864: The Journal of William H. Brewer,29,American Environmental and Regional History,A5027199373,accepted_author_fragment:A5027199373,,,,,6,P2,identity_note_risk:namesake;fragment_anchor,NONE,false,false
155,cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,W2006339381,1987,Algorithmic aspects of intuitionistic propositional logic II,7,"Logic, Reasoning, and Knowledge",A5036562220,earliest,,,,,5,P2,identity_note_risk:posthumous,NONE,false,false
156,cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,W1981368022,1992,An Intuitionistic Predicate Logic Theorem Prover,43,"Logic, programming, and type systems",A5036562220,high_citation,,,,,5,P2,identity_note_risk:posthumous,NONE,false,false
157,cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,W1977614750,2004,Transfinite Progressions: A Second Look at Completeness,29,Philosophy and Theoretical Science,A5036562220,high_citation,,,,,5,P2,identity_note_risk:posthumous,NONE,false,false
158,cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,W2886572672,2004,Inexhaustibility: A Non-Exhaustive Treatment: Lecture Notes in Logic 16,1,Wittgensteinian philosophy and applications,A5036562220,temporal_median,,,,,5,P2,identity_note_risk:posthumous,NONE,false,false
159,cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,W4235898311,2004,Inexhaustibility: A Non-Exhaustive Treatment,8,Philosophy and Theoretical Science,A5036562220,high_citation,,,,,5,P2,identity_note_risk:posthumous,NONE,false,false
160,cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,W4250417020,2004,Inexhaustibility: A Non-Exhaustive Treatment,22,Philosophy and Theoretical Science,A5036562220,high_citation,,,,,5,P2,identity_note_risk:posthumous,NONE,false,false
161,cv_Q18738873,Robert R. Squires,VERIFIED_SINGLE,W1976960051,1979,A microprocessor-controlled system for precise measurement of temperature changes. Determination of the enthalpies of hydrolysis of some polyoxygenated hydrocarbons,23,Chemical Thermodynamics and Molecular Structure,A5050147955,earliest,,,,,5,P2,identity_note_risk:excluded|fragment|namesake,NONE,false,false
162,cv_Q18738873,Robert R. Squires,VERIFIED_SINGLE,W2058541740,1988,Advances in flow reactor techniques for the study of gas‐phase ion chemistry,182,Mass Spectrometry Techniques and Applications,A5050147955,high_citation,,,,,5,P2,identity_note_risk:excluded|fragment|namesake,NONE,false,false
163,cv_Q18738873,Robert R. Squires,VERIFIED_SINGLE,W2088051244,1989,Sequential solvation of atomic transition-metal ions. The second solvent molecule can bind more strongly than the first,208,Molecular Sensors and Ion Detection,A5050147955,high_citation,,,,,5,P2,identity_note_risk:excluded|fragment|namesake,NONE,false,false
164,cv_Q18738873,Robert R. Squires,VERIFIED_SINGLE,W2028140569,1991,Gas-phase reactivity of fullerene anions,40,Fullerene Chemistry and Applications,A5050147955,temporal_median,,,,,5,P2,identity_note_risk:excluded|fragment|namesake,NONE,false,false
165,cv_Q18738873,Robert R. Squires,VERIFIED_SINGLE,W2007123287,1993,Bond strengths in first-row-metal carbonyl anions,201,Inorganic and Organometallic Chemistry,A5050147955,high_citation,,,,,5,P2,identity_note_risk:excluded|fragment|namesake,NONE,false,false
166,cv_Q18738873,Robert R. Squires,VERIFIED_SINGLE,W2064487688,1994,"Biradical Thermochemistry from Collision-Induced Dissociation Threshold Energy Measurements. Absolute Heats of Formation of ortho-, meta-, and para-Benzyne",177,Advanced Chemical Physics Studies,A5050147955,high_citation,,,,,5,P2,identity_note_risk:excluded|fragment|namesake,NONE,false,false
167,cv_Q18738873,Robert R. Squires,VERIFIED_SINGLE,W51518673,1995,The C-H Bond Energy of Benzene,311,Electrochemical Analysis and Applications,A5050147955,high_citation,,,,,5,P2,identity_note_risk:excluded|fragment|namesake,NONE,false,false
168,cv_Q18738873,Robert R. Squires,VERIFIED_SINGLE,W2002755936,1996,Photoelectron Spectroscopy of the Trimethylene- methane Negative Ion. The Singlet−Triplet Splitting of Trimethylenemethane,176,Mass Spectrometry Techniques and Applications,A5050147955,high_citation,,,,,5,P2,identity_note_risk:excluded|fragment|namesake,NONE,false,false
169,cv_Q23059458,Minoo Lenarz,VERIFIED_SINGLE,W1975737184,2002,Auditory Brainstem Implant Part II: Subjective Assessment of Functional Outcome,65,Hearing Loss and Rehabilitation,A5073627948,earliest,,,,,5,P2,identity_note_risk:namesake,NONE,false,false
170,cv_Q23059458,Minoo Lenarz,VERIFIED_SINGLE,W1968282453,2006,The Auditory Midbrain Implant,106,Hearing Loss and Rehabilitation,A5073627948,high_citation,,,,,5,P2,identity_note_risk:namesake,NONE,false,false
171,cv_Q23059458,Minoo Lenarz,VERIFIED_SINGLE,W2070011111,2006,Elimination of Facial Nerve Stimulation by Reimplantation in Cochlear Implant Subjects,65,Hearing Loss and Rehabilitation,A5073627948,high_citation,,,,,5,P2,identity_note_risk:namesake,NONE,false,false
172,cv_Q23059458,Minoo Lenarz,VERIFIED_SINGLE,W2038080246,2007,Electrical Stimulation of the Midbrain for Hearing Restoration: Insight into the Functional Organization of the Human Central Auditory System,75,Hearing Loss and Rehabilitation,A5073627948,high_citation,,,,,5,P2,identity_note_risk:namesake,NONE,false,false
173,cv_Q23059458,Minoo Lenarz,VERIFIED_SINGLE,W2023016429,2008,Demagnetization of Cochlear Implants and Temperature Changes in 3.0T MRI Environment,76,Advanced MRI Techniques and Applications,A5073627948,high_citation,,,,,5,P2,identity_note_risk:namesake,NONE,false,false
174,cv_Q23059458,Minoo Lenarz,VERIFIED_SINGLE,W2024585406,2009,Artifacts caused by cochlear implants with non-removable magnets in 3T MRI: phantom and cadaveric studies,60,Hearing Loss and Rehabilitation,A5073627948,high_citation,,,,,5,P2,identity_note_risk:namesake,NONE,false,false
175,cv_Q23059458,Minoo Lenarz,VERIFIED_SINGLE,W2136948475,2009,Auditory Midbrain Implant: A Review,87,Hearing Loss and Rehabilitation,A5073627948,high_citation,,,,,5,P2,identity_note_risk:namesake,NONE,false,false
176,cv_Q23059458,Minoo Lenarz,VERIFIED_SINGLE,W1974466673,2012,Cochlear implant performance in geriatric patients,140,Hearing Loss and Rehabilitation,A5073627948,high_citation,,,,,5,P2,identity_note_risk:namesake,NONE,false,false
177,cv_Q23059458,Minoo Lenarz,VERIFIED_SINGLE,W2105406211,2012,Long‐Term Performance of Cochlear Implants in Postlingually Deafened Adults,138,Hearing Loss and Rehabilitation,A5073627948,high_citation,,,,,5,P2,identity_note_risk:namesake,NONE,false,false
178,cv_Q3611354,Alfredo Boni,VERIFIED_SINGLE,W2084546620,1942,Il disastro di Quassolo (Borgofranco d'Ivrea) considerazioni sulle «mure»,0,3D Surveying and Cultural Heritage,A5109468760,high_citation,,,,,5,P2,identity_note_risk:namesake,NONE,false,false
179,cv_Q3611354,Alfredo Boni,VERIFIED_SINGLE,W2013628411,1947,Terremoti dell'Appennino Vogherese-Tortonese e la geologia della regione,0,3D Surveying and Cultural Heritage,A5109468760,temporal_median,,,,,5,P2,identity_note_risk:namesake,NONE,false,false
180,cv_Q3611354,Alfredo Boni,VERIFIED_SINGLE,W2778862128,1962,Lignes et problemes tectoniques du secteur nord-ouest de l'Apennin septentrional,5,Geological and Geochemical Analysis,A5109468760,high_citation,,,,,5,P2,identity_note_risk:namesake,NONE,false,false
181,cv_Q3611354,Alfredo Boni,VERIFIED_SINGLE,W1974600180,1964,La ligne judicarienne et la limite nord-ouest de l'Apennin septentrional,3,Geological and Geophysical Studies Worldwide,A5109468760,latest,,,,,5,P2,identity_note_risk:namesake,NONE,false,false
182,cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,W185652089,1967,Cross-Adaptive Operator Loading Tasks,26,Advanced Sensor Technologies Research,A5054956965,high_citation,,,,,5,P2,identity_note_risk:contamination|mixed|namesake,NONE,false,false
183,cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,W2056356261,1987,Advanced control design considerations for the Czochralski process,27,Solidification and crystal growth phenomena,A5054956965,high_citation,,,,,5,P2,identity_note_risk:contamination|mixed|namesake,NONE,false,false
184,cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,W2087456828,1988,Dynamics and control of the Czochralski process II. Objectives and control structure design,40,Solidification and crystal growth phenomena,A5054956965,high_citation,,,,,5,P2,identity_note_risk:contamination|mixed|namesake,NONE,false,false
185,cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,W1981008814,1989,Dynamics of liquid-encapsulated czochralski growth of gallium arsenide: Comparing model with experiment,48,Solidification and crystal growth phenomena,A5054956965,high_citation,,,,,5,P2,identity_note_risk:contamination|mixed|namesake,NONE,false,false
186,cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,W2093838161,1991,"New optical approaches to the quantitative characterization of crystal growth, segregation, and defect formation",0,Advanced Semiconductor Detectors and Materials,A5054956965,temporal_median,,,,,5,P2,identity_note_risk:contamination|mixed|namesake,NONE,false,false
187,cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,W1986220479,2004,Research on macro- and microsegregation in semiconductor crystals grown from the melt under the direction of August F. Witt at the Massachusetts Institute of Technology,17,Solidification and crystal growth phenomena,A5054956965,high_citation,,,,,5,P2,identity_note_risk:contamination|mixed|namesake,NONE,false,false
188,cv_Q56329881,Armin Buschauer,VERIFIED_SINGLE,W2796451806,2018,Structural basis of small-molecule inhibition of human multidrug transporter ABCG2,339,Drug Transport and Resistance Mechanisms,A5007797524,high_citation,,,,,5,P2,posthumous_year:+1,NONE,false,false
